250,250
235,235
220,220
210,210
200,200
190,190
180,180
-350,-350
-340,-340
-330,-330
-320,-320
-310,-310
-300,-300
-290,-290
25,25
35,38
45,45
54,54
68,70
80,82
90,95
105,120
112,113
-25,-25
-35,-38
-45,-45
-54,-54
-68,-70
-80,-82
-90,-95
-105,-120
-112,-113
-250,-250
-235,-235
-220,-220
-210,-210
-200,-200
-190,-190
-180,-180
350,-350
340,-340
330,-330
320,-320
310,-310
300,-300
290,-290
-145,124
-160,150
-170,160
-180,130
-150,160
-180,200
-120,120
-133,324
-120,12
135,-130
140,-143
145,-124
160,-150
170,-160
150,-160
120,-120
133,-324
